layer,category,word,disambiguation_note
L1,功效型,成分,
L1,功效型,温和,
L1,功效型,刺激,
L1,功效型,敏感肌,
L1,功效型,屏障,
L1,功效型,修护,
L1,功效型,维稳,
L1,功效型,保湿,
L1,功效型,补水,
L1,功效型,控油,
L1,功效型,防晒力,
L1,功效型,肤感,
L1,功效型,吸收,
L1,功效型,闷痘,
L1,功效型,爆痘,
L1,功效型,过敏,
L1,功效型,泛红,
L1,功效型,起皮,
L1,功效型,晒黑,
L1,功效型,拔干,
L1,功效型,假滑,
L1,功效型,好用,危机语境下常与割舍挣扎共现
L1,功效型,难用,
L1,功效型,实测,
L1,功效型,测评,
L1,功效型,科研,
L1,功效型,专利,
L1,功效型,配方,
L1,功效型,功效,
L1,功效型,成分党,
L1,功效型,空瓶,
L1,功效型,回购,
L1,功效型,性价比,
L1,功效型,平价,
L1,功效型,矿油,
L1,功效型,烂脸,主语为自己=功效型；指他人=立场抵制诅咒
L1,功效型,踩雷,共现辐射词时改判安全恐慌
L1,信号型,贵妇,
L1,信号型,高级,
L1,信号型,贵气,
L1,信号型,大牌,
L1,信号型,排面,
L1,信号型,拿得出手,
L1,信号型,档次,
L1,信号型,身份,
L1,信号型,面子,
L1,信号型,充面子,
L1,信号型,跟风,
L1,信号型,网红,
L1,信号型,爆款,
L1,信号型,明星同款,
L1,信号型,名媛,
L1,信号型,轻奢,
L1,信号型,高端,
L1,信号型,奢宠,品牌营销文案高频词；注意来源账户类型
L1,信号型,精致,
L1,信号型,仪式感,
L1,信号型,专柜,
L1,信号型,限量,
L1,信号型,联名,
L2,安全恐慌,核辐射,
L2,安全恐慌,辐射,
L2,安全恐慌,核污水,
L2,安全恐慌,核废水,
L2,安全恐慌,排海,
L2,安全恐慌,污染,
L2,安全恐慌,致癌,
L2,安全恐慌,不敢用,
L2,安全恐慌,还能用吗,
L2,安全恐慌,退货,
L2,安全恐慌,退了,
L2,安全恐慌,产地,与理性辩护共享；看论证方向
L2,安全恐慌,原料,
L2,安全恐慌,批次,
L2,安全恐慌,生产日期,
L2,安全恐慌,检测仪,
L2,安全恐慌,避雷,共现辐射词时；否则为功效型负评
L2,安全恐慌,中招,
L2,安全恐慌,恐慌,
L2,安全恐慌,焦虑,也出现在理性辩护中（“别制造焦虑”）；看否定词
L2,安全恐慌,囤货,共现批次/生产日期时
L2,立场抵制,抵制,
L2,立场抵制,日货,
L2,立场抵制,小日子,
L2,立场抵制,小日本,
L2,立场抵制,鬼子,
L2,立场抵制,本子,需消歧：笔记本/二次元含义
L2,立场抵制,精日,
L2,立场抵制,软骨头,
L2,立场抵制,卖国,
L2,立场抵制,立场,
L2,立场抵制,国仇家恨,
L2,立场抵制,新仇旧恨,
L2,立场抵制,爱国,
L2,立场抵制,制裁,
L2,立场抵制,毁灭吧,
L2,立场抵制,自作自受,
L2,立场抵制,咎由自取,
L2,立场抵制,干得漂亮,
L2,立场抵制,拒买,
L2,立场抵制,不配做中国人,
L2,理性辩护,海关,
L2,理性辩护,检测,与安全恐慌共享（买检测仪）；看论证方向
L2,理性辩护,合格,
L2,理性辩护,标准,
L2,理性辩护,国内生产,
L2,理性辩护,上海产,
L2,理性辩护,剂量,
L2,理性辩护,常识,
L2,理性辩护,科普,
L2,理性辩护,没必要,
L2,理性辩护,制造焦虑,
L2,理性辩护,放心,
L2,理性辩护,澄清,
L2,理性辩护,符合,
L2,摆烂虚无,爱咋咋,
L2,摆烂虚无,摆烂,
L2,摆烂虚无,随便,单独出现噪音大；需共现规则
L2,摆烂虚无,死不了,
L2,摆烂虚无,世界大同,
L2,摆烂虚无,阻止不了,
L2,摆烂虚无,无所谓,
L2,摆烂虚无,开心就好,
L2,摆烂虚无,毒死算了,
L2,摆烂虚无,都有辐射,
L2,割舍挣扎,找不到替代,
L2,割舍挣扎,无可替代,
L2,割舍挣扎,割舍,
L2,割舍挣扎,舍不得,
L2,割舍挣扎,纠结,
L2,割舍挣扎,怎么办,需共现规则
L2,割舍挣扎,用完就不买,
L2,割舍挣扎,最后一瓶,
L2,割舍挣扎,换回来,转投失败回流信号
L2,割舍挣扎,还是回购了,转投失败回流信号
L2,替代转投,替代,
L2,替代转投,平替,
L2,替代转投,换了,
L2,替代转投,换成,
L2,替代转投,转用,
L2,替代转投,弃用,
L2,替代转投,求推荐,共现“国货/非日货”时
L2,替代转投,国产,
L2,国货红利,国货之光,
L2,国货红利,泼天的富贵,注意：蜂花语料中多由花西子事件驱动
L2,国货红利,良心国货,
L2,国货红利,百年国货,
L2,国货红利,国货崛起,
L2,国货红利,老国货,
L2,国货红利,支持国货,
L2,国货红利,争气,
L2,国货红利,便宜大碗,
L2,理性辩护,欧盟标准,批注新增:国际标准背书类
L2,理性辩护,国际标准,批注新增:国际标准背书类
L2,理性辩护,欧标,批注新增:国际标准背书类
L2,理性辩护,FDA,批注新增:国际标准背书类
L2,理性辩护,备案,批注新增:国际标准背书类
L2,理性辩护,资质,批注新增:国际标准背书类
